"","Program","Year","Period","State","State ANSI","Data Item","Domain","Domain Category","Value","CV (%)"
"16","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"17","CENSUS",2021,"YEAR","CALIFORNIA","06","STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,244","(H)"
"18","CENSUS",2021,"YEAR","CONNECTICUT","09","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","8","74.4"
"19","CENSUS",2021,"YEAR","CONNECTICUT","09","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"20","CENSUS",2021,"YEAR","CONNECTICUT","09","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","40,890","(H)"
"21","CENSUS",2021,"YEAR","CONNECTICUT","09","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"22","CENSUS",2021,"YEAR","CONNECTICUT","09","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","8","74.4"
"23","CENSUS",2021,"YEAR","CONNECTICUT","09","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","40,890","(H)"
"24","CENSUS",2021,"YEAR","CONNECTICUT","09","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","183","(H)"
"25","CENSUS",2021,"YEAR","FLORIDA","12","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","57.3"
"26","CENSUS",2021,"YEAR","FLORIDA","12","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"27","CENSUS",2021,"YEAR","FLORIDA","12","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","18,358,396","(H)"
"28","CENSUS",2021,"YEAR","FLORIDA","12","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"29","CENSUS",2021,"YEAR","FLORIDA","12","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","10","57.3"
"30","CENSUS",2021,"YEAR","FLORIDA","12","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","18,358,396","(H)"
"31","CENSUS",2021,"YEAR","FLORIDA","12","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","67,146","(H)"
"32","CENSUS",2021,"YEAR","GEORGIA","13","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","80.4"
"33","CENSUS",2021,"YEAR","GEORGIA","13","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78.0"
"34","CENSUS",2021,"YEAR","GEORGIA","13","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,600","77.8"
"35","CENSUS",2021,"YEAR","GEORGIA","13","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78.0"
"36","CENSUS",2021,"YEAR","GEORGIA","13","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","4","80.4"
"37","CENSUS",2021,"YEAR","GEORGIA","13","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11,600","77.8"
"38","CENSUS",2021,"YEAR","GEORGIA","13","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","19","78.0"
"39","CENSUS",2021,"YEAR","IDAHO","16","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","53.2"
"40","CENSUS",2021,"YEAR","IDAHO","16","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"41","CENSUS",2021,"YEAR","IDAHO","16","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31,680","74.1"
"42","CENSUS",2021,"YEAR","IDAHO","16","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"43","CENSUS",2021,"YEAR","IDAHO","16","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","53.2"
"44","CENSUS",2021,"YEAR","IDAHO","16","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","31,680","74.1"
"45","CENSUS",2021,"YEAR","IDAHO","16","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","111","71.4"
"46","CENSUS",2021,"YEAR","ILLINOIS","17","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","95.4"
"47","CENSUS",2021,"YEAR","ILLINOIS","17","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"48","CENSUS",2021,"YEAR","ILLINOIS","17","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16,000","95.0"
"49","CENSUS",2021,"YEAR","ILLINOIS","17","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"50","CENSUS",2021,"YEAR","ILLINOIS","17","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","5","95.4"
"51","CENSUS",2021,"YEAR","ILLINOIS","17","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16,000","95.0"
"52","CENSUS",2021,"YEAR","ILLINOIS","17","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53","94.9"
"53","CENSUS",2021,"YEAR","INDIANA","18","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"54","CENSUS",2021,"YEAR","INDIANA","18","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"55","CENSUS",2021,"YEAR","INDIANA","18","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"56","CENSUS",2021,"YEAR","INDIANA","18","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"57","CENSUS",2021,"YEAR","INDIANA","18","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"58","CENSUS",2021,"YEAR","INDIANA","18","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"59","CENSUS",2021,"YEAR","INDIANA","18","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"60","CENSUS",2021,"YEAR","IOWA","19","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","97.5"
"61","CENSUS",2021,"YEAR","IOWA","19","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","74","96.4"
"62","CENSUS",2021,"YEAR","IOWA","19","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"63","CENSUS",2021,"YEAR","IOWA","19","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","74","96.4"
"64","CENSUS",2021,"YEAR","IOWA","19","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","6","97.5"
"65","CENSUS",2021,"YEAR","IOWA","19","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"66","CENSUS",2021,"YEAR","IOWA","19","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","74","96.4"
"67","CENSUS",2021,"YEAR","KENTUCKY","21","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","12","69.1"
"68","CENSUS",2021,"YEAR","KENTUCKY","21","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","62","72.0"
"69","CENSUS",2021,"YEAR","KENTUCKY","21","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","30,828","72.0"
"70","CENSUS",2021,"YEAR","KENTUCKY","21","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","62","72.0"
"71","CENSUS",2021,"YEAR","KENTUCKY","21","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","12","69.1"
"72","CENSUS",2021,"YEAR","KENTUCKY","21","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","30,828","72.0"
"73","CENSUS",2021,"YEAR","KENTUCKY","21","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","62","72.0"
"74","CENSUS",2021,"YEAR","LOUISIANA","22","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"75","CENSUS",2021,"YEAR","LOUISIANA","22","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"76","CENSUS",2021,"YEAR","LOUISIANA","22","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"77","CENSUS",2021,"YEAR","LOUISIANA","22","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"78","CENSUS",2021,"YEAR","LOUISIANA","22","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"79","CENSUS",2021,"YEAR","LOUISIANA","22","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"80","CENSUS",2021,"YEAR","LOUISIANA","22","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"81","CENSUS",2021,"YEAR","MAINE","23","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16","38.4"
"82","CENSUS",2021,"YEAR","MAINE","23","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","504","(H)"
"83","CENSUS",2021,"YEAR","MAINE","23","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","174,980","(H)"
"84","CENSUS",2021,"YEAR","MAINE","23","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","504","(H)"
"85","CENSUS",2021,"YEAR","MAINE","23","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","16","38.4"
"86","CENSUS",2021,"YEAR","MAINE","23","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","174,980","(H)"
"87","CENSUS",2021,"YEAR","MAINE","23","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","504","(H)"
"88","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","17","31.1"
"89","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","127","35.4"
"90","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","53,810","42.8"
"91","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","127","35.4"
"92","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","17","31.1"
"93","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"94","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"95","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","2","(H)"
"96","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"97","CENSUS",2021,"YEAR","MARYLAND","24","STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"98","CENSUS",2021,"YEAR","MASSACHUSETTS","25","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","12","79.2"
"99","CENSUS",2021,"YEAR","MASSACHUSETTS","25","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","251","76.5"
"100","CENSUS",2021,"YEAR","MASSACHUSETTS","25","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","94,827","80.1"
"101","CENSUS",2021,"YEAR","MASSACHUSETTS","25","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","251","76.5"
"102","CENSUS",2021,"YEAR","MASSACHUSETTS","25","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","12","79.2"
"103","CENSUS",2021,"YEAR","MASSACHUSETTS","25","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","94,827","80.1"
"104","CENSUS",2021,"YEAR","MASSACHUSETTS","25","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","251","76.5"
"105","CENSUS",2021,"YEAR","MICHIGAN","26","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","26","32.5"
"106","CENSUS",2021,"YEAR","MICHIGAN","26","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","564","43.9"
"107","CENSUS",2021,"YEAR","MICHIGAN","26","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","174,011","44.1"
"108","CENSUS",2021,"YEAR","MICHIGAN","26","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","564","43.9"
"109","CENSUS",2021,"YEAR","MICHIGAN","26","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","26","32.5"
"110","CENSUS",2021,"YEAR","MICHIGAN","26","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","174,011","44.1"
"111","CENSUS",2021,"YEAR","MICHIGAN","26","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","564","43.9"
"112","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","21","39.5"
"113","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","749","54.0"
"114","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","418,914","62.4"
"115","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","749","54.0"
"116","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","18","43.6"
"117","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"118","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","659","62.9"
"119","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC, PROCESSING - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","3","95.4"
"120","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","(D)","(D)"
"121","CENSUS",2021,"YEAR","MINNESOTA","27","STRAWBERRIES, ORGANIC, PROCESSING - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","90","95.4"
"122","CENSUS",2021,"YEAR","MONTANA","30","STRAWBERRIES, ORGANIC - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11","43.6"
"123","CENSUS",2021,"YEAR","MONTANA","30","STRAWBERRIES, ORGANIC - PRODUCTION, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","96","73.5"
"124","CENSUS",2021,"YEAR","MONTANA","30","STRAWBERRIES, ORGANIC - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","80,886","74.8"
"125","CENSUS",2021,"YEAR","MONTANA","30","STRAWBERRIES, ORGANIC - SALES, MEASURED IN CWT","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","96","73.5"
"126","CENSUS",2021,"YEAR","MONTANA","30","STRAWBERRIES, ORGANIC, FRESH MARKET - OPERATIONS WITH SALES","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","11","43.6"
"127","CENSUS",2021,"YEAR","MONTANA","30","STRAWBERRIES, ORGANIC, FRESH MARKET - SALES, MEASURED IN $","ORGANIC STATUS","ORGANIC STATUS: (NOP USDA CERTIFIED)","80,886","74.8"
